img_url,img_url_subdomain,lat,lng,tiles_x,tiles_y,img_height,img_width,start_date,end_date
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321301020300-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.232958984375,4,3,512,512,20 Jul 2008 GMT,20 Jul 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321320012311-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.237078857421874,4,3,512,512,01 Aug 2008 GMT,01 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321301020321-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.24119873046875,4,3,512,512,20 Jul 2008 GMT,20 Jul 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321301020322-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.245318603515624,4,3,512,512,20 Jul 2008 GMT,20 Jul 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321301020323-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.2494384765625,4,3,512,512,20 Jul 2008 GMT,20 Jul 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321220120123-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.253558349609374,4,3,512,512,20 Jul 2008 GMT,20 Jul 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321301021330-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.25767822265625,4,3,512,512,20 Jul 2008 GMT,20 Jul 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321300021011-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.261798095703124,4,3,512,512,20 Jul 2008 GMT,20 Jul 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321300021031-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.26591796875,4,3,512,512,01 Aug 2008 GMT,01 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321300021032-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.270037841796874,4,3,512,512,01 Aug 2008 GMT,01 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321310112103-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.27415771484375,4,3,512,512,01 Aug 2008 GMT,01 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321212030023-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.278277587890624,4,3,512,512,02 Aug 2008 GMT,02 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321222232031-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.2823974609375,4,3,512,512,02 Aug 2008 GMT,02 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321232330320-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.286517333984374,4,3,512,512,20 Jul 2008 GMT,20 Jul 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321212030031-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.29063720703125,4,3,512,512,02 Aug 2008 GMT,02 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321321122201-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.294757080078124,4,3,512,512,02 Aug 2008 GMT,02 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321231310131-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.298876953125,4,3,512,512,02 Aug 2008 GMT,02 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321212030112-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.302996826171874,4,3,512,512,02 Aug 2008 GMT,02 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321310101232-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.30711669921875,4,3,512,512,02 Aug 2008 GMT,02 Aug 2008 GMT
http://ak.{subdomain}.tiles.virtualearth.net/tiles/be000321233023321-7-5-19-{tileId}.jpeg?g=6617&key=BING_API_KEY,t0,42.03,12.311236572265624,4,3,512,512,02 Aug 2008 GMT,02 Aug 2008 GMT
